Camera,Burrow,On,Off
178,165,13-Jun-2013 10:38,27-Jun-2013 05:06
178,165,27-Jun-2013 05:10,30-Jun-2013 17:20
179,103,29-Apr-2013 00:00,09-May-2013 12:14
179,186,11-Jun-2013 17:11,13-Jun-2013 10:06
179,186,13-Jun-2013 10:38,26-Jun-2013 05:52
180,270,11-Jun-2013 17:10,13-Jun-2013 10:05
180,270,13-Jun-2013 10:38,27-Jun-2013 05:06
181,186,29-Apr-2013 00:00,03-May-2013 16:02
181,92,11-Jun-2013 08:49,11-Jun-2013 17:01
181,92,11-Jun-2013 17:11,13-Jun-2013 10:06
181,92,13-Jun-2013 10:38,26-Jun-2013 16:50
182,118,30-May-2013 15:34,05-Jun-2013 11:08
182,118,11-Jun-2013 08:49,11-Jun-2013 17:01
182,118,11-Jun-2013 17:10,13-Jun-2013 10:06
182,118,13-Jun-2013 10:38,27-Jun-2013 05:06
183,38,11-Jun-2013 08:49,11-Jun-2013 17:01
183,38,11-Jun-2013 17:11,13-Jun-2013 10:06
183,38,13-Jun-2013 10:38,14-Jun-2013 06:19
184,190,29-Apr-2013 00:00,01-May-2013 16:17
184,286,11-Jun-2013 17:10,13-Jun-2013 10:05
184,286,13-Jun-2013 10:38,27-Jun-2013 05:07
184,286,27-Jun-2013 05:14,28-Jun-2013 16:44
185,254,29-Apr-2013 00:00,03-May-2013 15:28
185,195,03-May-2013 15:34,09-May-2013 12:33
185,373,11-Jun-2013 17:11,13-Jun-2013 10:05
185,373,13-Jun-2013 10:05,20-Jun-2013 11:36
185,13,20-Jun-2013 11:37,27-Jun-2013 05:06
186,282,29-Apr-2013 09:41,01-May-2013 16:10
186,355,01-May-2013 16:10,18-May-2013 10:28
186,371,11-Jun-2013 08:49,11-Jun-2013 17:01
186,371,11-Jun-2013 17:11,13-Jun-2013 10:06
186,371,13-Jun-2013 10:38,27-Jun-2013 05:06
187,261,11-Jun-2013 08:49,11-Jun-2013 17:01
187,261,11-Jun-2013 17:11,13-Jun-2013 10:05
187,261,13-Jun-2013 10:38,18-Jun-2013 05:11
188,4,29-Apr-2013 00:00,03-May-2013 15:21
188,394,29-May-2013 09:47,11-Jun-2013 06:12
188,394,11-Jun-2013 08:49,11-Jun-2013 17:01
188,394,11-Jun-2013 17:11,13-Jun-2013 10:05
188,394,13-Jun-2013 10:38,16-Jun-2013 10:29
188,412,16-Jun-2013 10:55,27-Jun-2013 05:06
189,153,29-Apr-2013 00:00,07-May-2013 14:20
189,27,07-May-2013 14:25,12-May-2013 11:32
189,237,11-Jun-2013 17:11,13-Jun-2013 10:05
189,237,13-Jun-2013 10:38,22-Jun-2013 11:44
189,417,22-Jun-2013 11:55,27-Jun-2013 05:07
189,417,27-Jun-2013 05:14,29-Jun-2013 11:27
190,225,29-Apr-2013 00:00,03-May-2013 15:51
190,180,11-Jun-2013 08:49,11-Jun-2013 17:01
190,180,11-Jun-2013 17:11,13-Jun-2013 10:05
190,180,13-Jun-2013 10:38,14-Jun-2013 02:10
191,273,29-Apr-2013 00:00,09-May-2013 12:36
191,374,11-Jun-2013 08:49,11-Jun-2013 17:01
191,374,11-Jun-2013 17:11,13-Jun-2013 10:05
191,374,13-Jun-2013 10:38,24-Jun-2013 17:02
192,98,29-May-2013 10:15,05-Jun-2013 19:39
192,375,05-Jun-2013 19:40,11-Jun-2013 17:01
192,375,11-Jun-2013 17:11,13-Jun-2013 10:05
192,375,13-Jun-2013 10:38,18-Jun-2013 12:30
192,414,18-Jun-2013 12:32,27-Jun-2013 05:07
192,414,27-Jun-2013 05:14,05-Jul-2013 19:50
193,13,29-Apr-2013 00:00,03-May-2013 15:23
193,13,29-May-2013 09:40,07-Jun-2013 13:03
193,13,11-Jun-2013 08:49,11-Jun-2013 17:01
193,13,11-Jun-2013 17:11,13-Jun-2013 10:05
193,13,13-Jun-2013 10:38,15-Jun-2013 11:55
193,14,15-Jun-2013 11:55,20-Jun-2013 13:11
194,387,30-May-2013 15:47,05-Jun-2013 17:58
194,176,05-Jun-2013 17:58,10-Jun-2013 13:45
194,176,11-Jun-2013 08:49,11-Jun-2013 17:01
194,176,11-Jun-2013 17:11,13-Jun-2013 10:05
194,176,13-Jun-2013 10:38,16-Jun-2013 09:23
195,280,11-Jun-2013 08:50,11-Jun-2013 17:01
195,280,11-Jun-2013 17:10,13-Jun-2013 10:05
195,280,13-Jun-2013 10:05,27-Jun-2013 05:06
195,280,27-Jun-2013 05:10,02-Jul-2013 20:08
196,289,29-Apr-2013 00:00,03-May-2013 16:03
196,185,03-May-2013 16:05,09-May-2013 12:09
196,400,29-May-2013 10:28,02-Jun-2013 11:38
196,103,02-Jun-2013 11:38,11-Jun-2013 08:49
196,103,11-Jun-2013 08:50,11-Jun-2013 17:01
196,103,11-Jun-2013 17:10,13-Jun-2013 10:05
196,103,13-Jun-2013 10:38,27-Jun-2013 05:06
197,189,29-Apr-2013 00:00,09-May-2013 12:11
197,408,13-Jun-2013 10:38,27-Jun-2013 05:10
198,156,29-Apr-2013 00:00,03-May-2013 15:34
198,247,11-Jun-2013 08:54,11-Jun-2013 17:01
198,247,13-Jun-2013 10:38,27-Jun-2013 05:10
199,240,29-Apr-2013 00:00,01-May-2013 15:22
199,350,01-May-2013 15:23,09-May-2013 12:18
199,44,09-May-2013 12:19,12-May-2013 09:24
199,155,12-May-2013 09:26,18-May-2013 10:53
199,351,13-Jun-2013 10:38,27-Jun-2013 05:10
200,303,29-Apr-2013 17:09,03-May-2013 15:44
200,28,13-Jun-2013 10:38,14-Jun-2013 11:39
200,356,14-Jun-2013 12:41,27-Jun-2013 05:09
200,356,27-Jun-2013 05:21,04-Jul-2013 14:31
201,43,29-Apr-2013 00:00,09-May-2013 12:27
201,153,09-May-2013 12:28,12-May-2013 09:31
201,309,13-Jun-2013 10:38,27-Jun-2013 05:10
202,194,29-Apr-2013 00:00,03-May-2013 15:27
202,296,03-May-2013 15:29,09-May-2013 12:36
202,379,29-May-2013 09:43,30-May-2013 16:04
202,241,30-May-2013 16:07,03-Jun-2013 12:52
202,403,13-Jun-2013 10:38,20-Jun-2013 12:18
202,403,20-Jun-2013 12:35,27-Jun-2013 05:10
202,403,27-Jun-2013 05:10,04-Jul-2013 14:30
203,192,29-Apr-2013 00:00,01-May-2013 15:10
203,274,01-May-2013 15:14,03-May-2013 15:17
203,390,29-May-2013 09:51,11-Jun-2013 08:50
203,390,11-Jun-2013 08:54,11-Jun-2013 17:01
203,390,13-Jun-2013 10:38,29-Jun-2013 11:16
203,422,29-Jun-2013 11:19,07-Jul-2013 20:11
204,193,29-Apr-2013 00:00,03-May-2013 15:25
204,192,03-May-2013 15:26,07-May-2013 14:12
204,246,07-May-2013 14:15,09-May-2013 11:57
204,82,09-May-2013 12:00,12-May-2013 09:05
204,332,12-May-2013 09:05,13-May-2013 16:05
204,349,13-May-2013 16:05,18-May-2013 10:59
204,301,13-Jun-2013 10:38,27-Jun-2013 05:10
205,228,11-Jun-2013 08:54,11-Jun-2013 17:00
205,228,13-Jun-2013 10:38,27-Jun-2013 05:10
206,5,29-Apr-2013 00:00,03-May-2013 15:17
206,401,30-May-2013 16:08,11-Jun-2013 19:53
206,335,13-Jun-2013 10:38,15-Jun-2013 11:29
206,401,15-Jun-2013 11:29,20-Jun-2013 12:19
206,401,20-Jun-2013 12:38,29-Jun-2013 10:16
206,421,29-Jun-2013 10:22,06-Jul-2013 16:18
207,253,29-Apr-2013 00:00,09-May-2013 12:12
207,107,13-Jun-2013 10:38,18-Jun-2013 12:12
207,343,18-Jun-2013 12:13,27-Jun-2013 05:10
208,395,13-Jun-2013 10:38,18-Jun-2013 12:19
208,415,18-Jun-2013 12:19,27-Jun-2013 05:09
208,415,27-Jun-2013 05:21,28-Jun-2013 16:55
209,45,13-Jun-2013 10:38,27-Jun-2013 05:10
210,15,13-Jun-2013 10:38,27-Jun-2013 05:10
211,108,29-Apr-2013 00:00,29-Apr-2013 17:30
211,3,29-Apr-2013 17:31,01-May-2013 15:14
211,171,13-Jun-2013 10:38,15-Jun-2013 11:37
211,278,15-Jun-2013 11:38,27-Jun-2013 05:10
212,234,13-Jun-2013 10:38,27-Jun-2013 05:10
213,162,29-Apr-2013 00:00,01-May-2013 15:27
213,328,01-May-2013 15:27,12-May-2013 09:28
213,310,13-Jun-2013 10:38,27-Jun-2013 05:10
213,310,27-Jun-2013 05:10,27-Jun-2013 06:01
213,175,27-Jun-2013 06:01,10-Jul-2013 20:06
214,196,29-Apr-2013 00:00,01-May-2013 15:06
214,27,29-May-2013 09:53,11-Jun-2013 08:53
214,27,11-Jun-2013 08:54,11-Jun-2013 17:00
214,27,13-Jun-2013 10:38,27-Jun-2013 05:10
215,134,13-Jun-2013 10:38,22-Jun-2013 20:30
215,134,23-Jun-2013 04:16,27-Jun-2013 05:10
216,8,29-Apr-2013 00:00,10-May-2013 16:21
216,378,10-May-2013 16:22,12-May-2013 11:37
216,383,12-May-2013 11:44,18-May-2013 11:07
216,119,11-Jun-2013 08:54,11-Jun-2013 17:00
216,119,13-Jun-2013 10:38,27-Jun-2013 05:10
217,209,29-Apr-2013 00:00,01-May-2013 15:27
217,46,29-May-2013 10:04,09-Jun-2013 20:29
217,46,10-Jun-2013 04:13,10-Jun-2013 20:30
217,46,13-Jun-2013 10:38,27-Jun-2013 05:10
218,287,11-Jun-2013 08:54,11-Jun-2013 17:00
218,287,13-Jun-2013 10:38,27-Jun-2013 05:10
218,287,27-Jun-2013 05:10,29-Jun-2013 10:44
218,400,29-Jun-2013 10:44,04-Jul-2013 07:23
219,96,29-Apr-2013 09:41,03-May-2013 15:55
219,230,03-May-2013 15:55,14-May-2013 14:10
219,230,13-Jun-2013 10:38,27-Jun-2013 05:10
220,95,29-Apr-2013 00:00,01-May-2013 16:14
220,97,01-May-2013 16:14,03-May-2013 15:56
220,229,26-May-2013 16:42,11-Jun-2013 08:53
220,229,11-Jun-2013 08:54,11-Jun-2013 17:00
220,229,13-Jun-2013 10:38,15-Jun-2013 11:06
220,268,15-Jun-2013 11:06,20-Jun-2013 12:17
220,268,20-Jun-2013 12:25,27-Jun-2013 05:10
